tiltX,tiltY,tiltZ,accAngleX,accAngleY,accAngleZ,gyroX,gyroY,gyroZ,Click,RotDir,RotVal
-0.08,-87.05,85.60,87.05,-14.78,0.25,136,-1014,-2636,0,NA,0
-1.61,-85.34,85.22,85.34,-76.02,0.34,-628,783,-1231,0,NA,0
-2.90,-84.65,84.49,84.65,-85.00,0.65,573,302,-2797,0,NA,0
-1.59,-83.93,85.10,83.93,-71.97,0.32,1481,-1203,-1275,0,NA,0
-0.04,-86.32,85.21,86.32,-6.36,0.22,1244,-484,-1174,0,NA,0
-1.19,-87.72,86.25,87.72,-76.07,0.61,296,-1136,-1056,0,NA,0
0.15,-84.56,83.58,84.56,14.10,0.19,-114,-957,-536,0,NA,0
4.68,-6.40,89.93,6.40,85.20,0.53,300,-105,-693,0,NA,0
-6.54,-86.49,79.32,86.49,-84.40,0.46,1187,-1670,-884,0,NA,0
-5.77,-67.91,88.71,67.91,-85.97,0.54,-556,23,-3929,0,NA,0
1.35,-85.82,82.48,85.82,79.91,0.47,75,473,-1047,0,NA,0
0.37,-87.30,82.97,87.30,37.82,0.62,-60,121,-489,0,NA,0
-6.37,-88.79,63.29,88.79,-85.11,0.54,105,737,-803,0,NA,0
-0.27,-87.73,83.32,87.73,-30.70,0.52,250,487,350,0,NA,0
-1.89,-85.27,84.12,85.27,-86.50,0.55,446,425,-124,0,NA,0
-4.80,-86.37,81.93,86.37,-83.55,0.63,359,732,-307,0,NA,0
1.36,-84.58,83.84,84.58,73.08,0.61,663,1349,669,0,NA,0
1.36,-87.30,84.07,87.30,75.82,0.62,746,639,-260,0,NA,0
-2.10,-86.99,81.82,86.99,-87.81,0.63,348,592,1522,0,NA,0
-0.72,-87.19,83.97,87.19,-60.99,0.54,-1322,-1014,-45,0,NA,0
-0.42,-86.23,82.85,86.23,-61.20,0.42,644,903,52,0,NA,0
-1.02,-83.52,85.34,83.52,-73.08,0.55,-529,521,-638,0,NA,0
-0.15,-88.37,83.62,88.37,-82.67,0.12,418,522,331,0,NA,0
0.38,-84.29,84.44,84.29,31.06,0.61,555,21,-44,0,NA,0
-3.62,-82.54,85.80,82.54,-85.08,0.63,-654,329,-556,0,NA,0
-2.54,-13.76,89.85,13.76,-78.38,0.40,-901,-207,-1404,0,NA,0
-0.60,-86.31,84.23,86.31,-46.82,0.24,58,179,-50,0,NA,0
-0.31,-86.53,80.36,86.53,-38.26,0.08,71,757,-358,0,NA,0
0.24,-85.99,86.52,85.99,35.29,0.41,299,493,-860,0,NA,0
-2.59,88.88,99.59,-88.88,-84.49,0.17,50,742,-605,0,NA,0
-0.50,-84.86,84.27,84.86,-67.25,0.54,173,590,-92,0,NA,0
-0.21,-84.06,84.60,84.06,-22.07,0.21,620,396,44,0,NA,0
0.18,-88.16,82.41,88.16,17.13,0.61,14,334,-147,0,NA,0
0.04,-88.96,85.50,88.96,4.74,0.50,-26,-258,633,0,NA,0
-2.42,-83.09,85.05,83.09,-88.68,0.51,146,486,-1410,0,NA,0
-2.72,-86.22,81.68,86.22,-77.82,0.44,580,27,-1054,0,NA,0
2.43,-87.78,76.62,87.78,79.20,0.41,-869,-2727,1051,0,NA,0
-2.42,-86.21,82.26,86.21,-78.07,0.29,-1274,534,-78,0,NA,0
-1.06,-89.39,68.09,89.39,-74.21,0.54,2906,2661,780,0,NA,0
0.23,-85.55,83.32,85.55,20.96,0.43,268,148,536,0,NA,0
2.18,-84.20,83.80,84.20,80.10,0.32,804,1118,903,0,NA,0
-1.81,-85.55,83.33,85.55,-72.08,0.26,476,784,681,0,NA,0
0.04,-89.54,83.69,89.54,8.40,0.29,206,672,118,0,NA,0
0.58,-86.78,84.66,86.78,44.70,0.38,193,327,1373,0,NA,0
-1.21,-84.05,84.29,84.05,-63.05,0.58,576,1030,1562,0,NA,0
